Year,age,PresentAddress,CrimeGroup_Name
2017,42,"KUTAKANAKERI,BADAMI",BURGLARY - NIGHT
2017,63,"KULAGERI,TQ-BADAMI",THEFT
2017,45,"SOMANAKOPPA,BADAMI",MURDER
2017,8,"SULLA,BADAMI",MURDER
2017,34,"BELAVALAKOPPA,BADAMI",THEFT
2023,34,"Connaught Place, New Delhi",THEFT
2023,29,"Salt Lake, Kolkata",MURDER
2024,40,"Bandra West, Mumbai",BURGLARY - NIGHT
2024,22,"Gachibowli, Hyderabad",THEFT
2025,25,"Whitefield, Bengaluru",BURGLARY - NIGHT
2025,31,"Sector 18, Noida",CYBER CRIME
2023,38,"T. Nagar, Chennai",THEFT
2024,27,"Vyttila, Kochi",MURDER
2025,19,"Hinjewadi, Pune",THEFT
2025,30,"Ashok Nagar, Jaipur",BURGLARY - NIGHT
2023,35,"Sector 17, Chandigarh",MURDER
2024,28,"Ambawadi, Ahmedabad",THEFT
2025,45,"Hazratganj, Lucknow",BURGLARY - NIGHT
2024,33,"VIP Road, Raipur",MURDER
2025,50,"Kankarbagh, Patna",BURGLARY - NIGHT
2023,21,"Ratu Road, Ranchi",THEFT
2024,60,"Krishna Nagar, Agartala",MURDER
2025,52,"Paltan Bazar, Guwahati",BURGLARY - NIGHT
2023,36,"Malleshwaram, Bengaluru",THEFT
2024,26,"Koramangala, Bengaluru",MURDER
2025,42,"Mogappair, Chennai",BURGLARY - NIGHT
2024,19,"Yelahanka, Bengaluru",THEFT
2025,38,"Aliganj, Lucknow",BURGLARY - NIGHT
2024,24,"Andheri East, Mumbai",MURDER
2025,55,"Karol Bagh, New Delhi",THEFT
2023,60,"Bistupur, Jamshedpur",BURGLARY - NIGHT
2024,43,"Shastri Nagar, Patna",THEFT
2025,48,"Durgakund, Varanasi",MURDER
2024,22,"Byculla, Mumbai",BURGLARY - NIGHT
2025,35,"Kharadi, Pune",THEFT
Year,age,PresentAddress,CrimeGroup_Name
2023,23,"Shillong Main Road, Shillong",BURGLARY - NIGHT
2024,30,"Lalganj, Raebareli",MURDER
2024,26,"Lalkuan, Nainital",THEFT
2025,40,"Rajwada, Indore",BURGLARY - NIGHT
2023,22,"Sadar, Nagpur",CYBER CRIME
2024,36,"Golghar, Gorakhpur",THEFT
2025,44,"Nayabazar, Cuttack",BURGLARY - NIGHT
2024,38,"Tinsukia Town, Tinsukia",MURDER
2023,18,"Serchhip Bazar, Serchhip",THEFT
2025,35,"Daltonganj Central, Daltonganj",BURGLARY - NIGHT
2024,27,"Sector 4, Bokaro",MURDER
2023,20,"Itanagar Market, Itanagar",BURGLARY - NIGHT
2025,31,"Vishram Bagh, Solapur",THEFT
2024,25,"Church Road, Kohima",MURDER
2023,19,"Civil Lines, Bareilly",BURGLARY - NIGHT
2024,21,"Court Road, Dharamshala",THEFT
2025,24,"Arera Colony, Bhopal",MURDER
2023,46,"Dharampeth, Nagpur",BURGLARY - NIGHT
2024,50,"Mangalwari Bazar, Jabalpur",THEFT
2023,60,"Sadar, Jammu",BURGLARY - NIGHT
2024,35,"Channi Himmat, Jammu",THEFT
2025,45,"Civil Lines, Ludhiana",MURDER
2024,28,"Gandhibagh, Raipur",BURGLARY - NIGHT
2025,39,"Collectorate Road, Balasore",MURDER
2024,29,"Puthiyakavu, Kollam",THEFT
2023,25,"Sector 2, Bhilai",BURGLARY - NIGHT
2025,42,"Chowringhee, Kolkata",MURDER
2023,31,"Chowk Bazaar, Darjeeling",THEFT
2024,33,"Main Bazar, Leh",BURGLARY - NIGHT
2025,46,"Phoolbagh, Gwalior",THEFT
2023,27,"Bus Stand Area, Udaipur",BURGLARY - NIGHT
2024,30,"Ratu Chowk, Ranchi",THEFT
2025,22,"Kali Mandir Road, Dhanbad",MURDER
Year,age,PresentAddress,CrimeGroup_Name
2023,62,"Sector 22, Chandigarh",THEFT
2024,70,"Jayanagar, Bengaluru",BURGLARY - NIGHT
2025,55,"Charminar, Hyderabad",MURDER
2023,68,"Sector 7, Rohini, Delhi",CYBER CRIME
2024,73,"Boring Road, Patna",BURGLARY - NIGHT
2025,60,"R.S. Puram, Coimbatore",THEFT
2023,66,"Hazratganj, Lucknow",BURGLARY - NIGHT
2024,71,"MG Road, Pune",MURDER
2025,58,"Kalighat, Kolkata",THEFT
2023,61,"Gariahat, Kolkata",BURGLARY - NIGHT
2024,59,"Vile Parle East, Mumbai",THEFT
2025,65,"Alambagh, Lucknow",MURDER
2023,64,"TT Nagar, Bhopal",THEFT
2024,75,"Sadar Bazar, Agra",BURGLARY - NIGHT
2025,57,"Gopalpura, Jaipur",MURDER
2023,53,"Sanjeeva Reddy Nagar, Hyderabad",THEFT
2024,80,"Ashok Nagar, Chennai",BURGLARY - NIGHT
2025,54,"Dilsukhnagar, Hyderabad",MURDER
2023,69,"Sector 15, Faridabad",THEFT
2024,63,"Bhelupur, Varanasi",BURGLARY - NIGHT
2025,67,"Park Street, Kolkata",MURDER
Year,age,PresentAddress,CrimeGroup_Name
2023,54,"Kandanchavadi, Chennai",THEFT
2023,63,"Panvel, Navi Mumbai",BURGLARY - NIGHT
2023,67,"Chandni Chowk, Delhi",MURDER
2023,59,"Gariahat, Kolkata",THEFT
2023,72,"Majestic, Bengaluru",BURGLARY - NIGHT
2023,61,"Indiranagar, Bengaluru",CYBER CRIME
2024,65,"MG Road, Pune",THEFT
2024,74,"Red Hills, Hyderabad",MURDER
2024,58,"South Extension, New Delhi",BURGLARY - NIGHT
2024,69,"Patliputra Colony, Patna",THEFT
2024,62,"Saheed Nagar, Bhubaneswar",MURDER
2024,66,"Police Bazar, Shillong",BURGLARY - NIGHT
2025,70,"Sivanchetty Garden, Bengaluru",THEFT
2025,68,"Bhowanipore, Kolkata",BURGLARY - NIGHT
2025,55,"Tonk Road, Jaipur",THEFT
2025,73,"Lalpur, Ranchi",CYBER CRIME
2025,60,"Bistupur, Jamshedpur",BURGLARY - NIGHT
2025,64,"Sector 62, Noida",MURDER
2025,57,"Rajendra Nagar, Indore",THEFT
2025,69,"Ashram Road, Ahmedabad",BURGLARY - NIGHT
Year,age,PresentAddress,CrimeGroup_Name
2023,66,"Nehru Nagar, Belagavi",THEFT
2023,72,"PVS Circle, Mangaluru",BURGLARY - NIGHT
2024,61,"City Market, Davanagere",MURDER
2024,75,"Banni Mantap, Mysuru",THEFT
2025,58,"Gandhi Nagar, Hubballi",BURGLARY - NIGHT
2025,67,"Kesare, Mysuru",CYBER CRIME
2023,62,"Sadar Bazaar, Ambala",THEFT
2024,65,"Maharana Pratap Nagar, Bhopal",BURGLARY - NIGHT
2025,70,"Sector 6, Panchkula",MURDER
2023,71,"Paltan Bazar, Dehradun",THEFT
2024,69,"Jinsi Chowk, Aurangabad",BURGLARY - NIGHT
2025,60,"Kothi Bazar, Betul",MURDER
2023,64,"Civil Lines, Gwalior",THEFT
2024,73,"Telibandha, Raipur",BURGLARY - NIGHT
2025,77,"Jail Road, Bilaspur",MURDER
2023,68,"Civil Lines, Bareilly",BURGLARY - NIGHT
2024,56,"Tinsukia Road, Dibrugarh",THEFT
2025,59,"Lajpat Nagar, Imphal",BURGLARY - NIGHT
2023,62,"Zakir Nagar, Aligarh",MURDER
2024,74,"Kanker Bagh, Patna",THEFT
2025,66,"Bhootnath Road, Patna",BURGLARY - NIGHT
2023,55,"Panjim Market, Panaji",THEFT
2024,60,"Campal, Panaji",MURDER
2025,69,"Mapusa Bus Stand, Goa",BURGLARY - NIGHT
2023,63,"Kacheri Road, Meerut",THEFT
2024,78,"Chowk Bazaar, Srinagar",MURDER
2025,58,"Habba Kadal, Srinagar",BURGLARY - NIGHT
